Reservation_ID,Customer_ID,Vehicle_ID,Vehicle_Class,Booking_TS,Pickup_TS,Return_TS,City,Payment,Odo_Start,Odo_End,Fuel_Level,GPS_Lat,GPS_Lon,Max_Speed_kmh,Harsh_Events,Damage_Flag,Rate,Promo_Code,GST_Amount,Total_Amount,Rate_Plan,Driver_License,Notes,Customer_Feedback
RES-00507,C4907,CAR-16 ,Economy,2026-01-11 16:28,2026-01-11 20:28,2026-01-14 01:28,CHENNAI,card,"53,105 km","52,856km",67 %,12.93,75.598966,143 kmh,4,0,₹800/day,SAVE10,40.0,840.0,eco,,,email test@gmail.com
RES-00508,C7643,car-04,Luxury,2026-03-10 08:01,2026/03/10 14:01,2026-03-14 08:01,Kolkata,wallet,"64,377km","65,819 km",92%,17.24,73.465452,99,5,0,800,BOGUS99,40.0,840.0,eco,,Contact Rahul 9876543210,email test@gmail.com
RES-00509,C8720,CAR 30,Economy,2026-03-16 04:59,2026/03/16 07:69,2026-03-21 16:59,Mumbai,UPI,11684,"13,363 km",0.58,12.19,74.377556,156 kmh,1,0,₹1500/day,BOGUS99,75.0,1575.0,eco,,scratch on door,good service
RES-00510,C3796,CAR 27,Economy,2026-01-21 09:03,23-01-2026 20:03,2026-01-25 00:03,Bengaluru,card,"97,186 km",98594km,0.1,17.83159,84.6489,161 kmh,5,0,1500,DISC15,75.0,1575.0,standard,DL12345,Contact Rahul 9876543210,email test@gmail.com
RES-00511,C7586,CAR-11,Compact,2026-03-16 23:14,2026/03/18 19:14,2026-03-23 12:14,Delhi,UPI,"88,886km",89367,45 %,25.3,77.5448,163 kmh,5,0,3000/day,,150.0,3150.0,premium,DL12345,,email test@gmail.com
RES-00512,C3753, CAR-23,Compact,2026-03-14 23:21,2026/03/17 05:21,2026-03-18 21:21,Hyderabad,cash,12360,12946km,0.3,16.667532,85.61,97,1,0,1500/day,DISC15,75.0,1575.0,eco,INVALID,,good service
RES-00513,C8978,CAR-03,Economy,2026-01-06 01:06,06/01/2026 04:06,2026-01-08 00:06,Mumbai,wallet,"107,364km","108,628km",0.9,18.07,83.8967,89,6,1,₹2000/day,BOGUS99,100.0,2100.0,premium,INVALID,scratch on door,
RES-00514,C4377, CAR-05,Luxury,2026-03-25 01:56,25-03-2026 18:56,2026-03-30 23:56,Hyderabad,upi,"46,973km",47686,13%,24.799017,76.772395,65,2,0,1000/day,DISC15,50.0,1050.0,standard,,,good service
RES-00515,C5934,CAR-12 ,Economy,2026-03-20 10:02,20/03/2026 22:02,2026-03-26 09:02,Chennai,upi,82100,"82,061km",0.25,16.53,82.7814,136 kmh,0,1,₹ 800 /day,DISC15,40.0,840.0,standard,INVALID,scratch on door,
RES-00516,C9315,CAR-08 ,Compact,2026-01-13 18:06,16/01/2026 16:06,2026-01-24 22:06,Delhi,upi,85897,87089,0.25,17.0774,83.79,46,0,0,1500,SAVE10,,1575.0,eco,DL12345,Contact Rahul 9876543210,good service
RES-00517,C1885, CAR-21,SUV,2026-01-14 22:43,2026-01-15 04:43:00,2026-01-17 00:43,mumbai,Card,"96,899 km",97970,0.7,22.838848,81.755009,86,6,0,3000,SAVE10,150.0,3150.0,standard,,scratch on door,
RES-00518,C9804,car-06,Economy,2026-02-12 12:51,2026-02-12 19:51:00,2026-02-20 20:51,Hyderabad,UPI,"15,010 km",15517km,60%,25.0997,83.57,81,6,0,₹1000/day,,50.0,1050.0,premium,DL12345,Contact Rahul 9876543210,email test@gmail.com
RES-00519,C6336,CAR-08,SUV,2026-01-30 21:28,31/01/2026 23:28,2026-02-05 14:28,Mumbai,upi,25473km,25785,0.5,22.6,72.1384,58,6,1,"₹ 1,200 /day",,60.0,1260.0,premium,INVALID,,
RES-00520,C1890,CAR-29 ,Compact,2026-02-19 15:24,2026-02-22 06:24,2026-02-28 15:24,mumbai,upi,"72,769 km",74560km,51%,25.6618,79.527686,158 kmh,3,0,1000/day,,50.0,1050.0,eco,DL12345,,email test@gmail.com
RES-00521,C5418, CAR-07,Compact,2026-02-17 13:08,2026-02-19 11:08:00,2026-02-26 08:08,Bengaluru,Card,"55,671km","55,691 km",0.6,23.5369,82.92,136 kmh,0,0,800,,40.0,840.0,standard,INVALID,,good service
RES-00522,C4602, CAR-29,Compact,2026-01-16 07:54,2026-01-18 03:54:00,2026-01-20 02:54,Kolkata,cash,29007,30039,0.10,21.94,78.7812,178 kmh,4,1,1500,SAVE10,75.0,1575.0,eco,,scratch on door,good service
RES-00523,C8757,CAR-27 ,SUV,2026-03-11 03:05,2026-03-12 07:05:00,2026-03-17 16:05,BENGALURU,wallet,73778,74732,36 %,26.1356,87.46,57,4,0,₹ 800 /day,SAVE10,40.0,840.0,premium,INVALID,scratch on door,email test@gmail.com
RES-00524,C1083,CAR-14,Economy,2026-01-31 11:20,2026-02-01 07:20:00,2026-02-07 18:20,Hyderabad,card,99639km,"101,565km",71%,23.060093,78.959427,69,5,1,₹1200/day,DISC15,60.0,1260.0,standard,DL12345,Contact Rahul 9876543210,email test@gmail.com
RES-00525,C1203,CAR-23 ,Compact,2026-03-09 01:30,2026/03/09 12:30,2026-03-12 05:30,mumbai,Card,"32,367 km","32,891 km",0.29,25.44474,76.5815,70,3,0,2500,,125.0,2625.0,eco,INVALID,Contact Rahul 9876543210,
RES-00526,C8524,CAR 28,Economy,2026-01-30 23:05,2026/01/31 20:05,2026-02-04 06:05,HYD,upi,58362,"58,615km",0.1,14.18,83.22,95,6,0,3000,DISC15,150.0,3150.0,standard,,scratch on door,good service
RES-00527,C2158, CAR-13,Economy,2026-04-01 11:11,01-04-2026 12:11,2026-04-09 04:11,delhi,Card,"8,699 km",10055,0.63,13.63,74.1,160 kmh,1,0,"₹ 1,500 /day",,75.0,1575.0,standard,INVALID,scratch on door,email test@gmail.com
RES-00528,C6500,CAR-24,SUV,2026-03-31 08:34,31/03/2026 19:34,2026-04-08 06:34,Bengaluru,card,11928km,"12,374km",96%,20.590331,82.3792,149 kmh,3,0,1500,BOGUS99,75.0,1575.0,standard,,scratch on door,
RES-00529,C2097,car-18,Compact,2026-02-13 14:39,2026/02/16 14:39,2026-02-18 14:39,Delhi,cash,"117,928 km",118066km,15%,19.86,80.9216,74,3,0,₹1500/day,,75.0,1575.0,eco,INVALID,,good service
RES-00530,C4693, CAR-11,SUV,2026-01-14 17:30,15/01/2026 20:30,2026-01-23 11:30,CHENNAI,Card,15167,"15,830km",0.3,15.7063,77.2177,45,1,1,800,,,840.0,premium,,,good service
RES-00531,C3010,CAR 16,SUV,2026-01-04 06:23,07-01-2026 02:23,2026-01-12 14:23,HYD,wallet,94215km,"95,294km",0.2,21.344,85.346898,144 kmh,1,1,₹2500/day,DISC15,125.0,2625.0,premium,INVALID,,email test@gmail.com
RES-00532,C5724,CAR-03,Compact,2026-03-29 03:12,2026-03-30 02:12:00,2026-04-03 10:12,Delhi,wallet,70732,"72,565km",71%,17.25,75.880623,54,6,1,"₹ 1,000 /day",BOGUS99,50.0,1050.0,premium,INVALID,,good service
RES-00533,C5803,CAR 14,Compact,2026-01-19 12:09,2026-01-19 15:09,2026-01-26 11:09,HYD,card,75830km,76977km,0.49,26.69,85.8794,147 kmh,1,0,3000/day,BOGUS99,,3150.0,premium,,,email test@gmail.com
RES-00534,C4806,CAR 27,SUV,2026-02-26 20:41,2026/02/26 23:41,2026-02-27 19:41,HYD,wallet,"119,386km",120929,0.42,19.539172,79.4043,41,1,0,"₹ 3,000 /day",SAVE10,150.0,3150.0,standard,INVALID,,good service
RES-00535,C8295, CAR-15,Compact,2026-03-21 11:31,24/03/2026 10:31,2026-03-30 05:31,Delhi,Card,71298,"73,177km",57%,27.31,78.507198,74,2,0,₹ 800 /day,,40.0,840.0,eco,,scratch on door,
RES-00536,C6785,CAR-10 ,Compact,2026-01-29 20:23,30-01-2026 15:23,2026-01-31 07:23,Chennai,wallet,111596,"113,387km",0.98,17.474,74.775748,174 kmh,3,0,"₹ 1,000 /day",DISC15,50.0,1050.0,premium,INVALID,scratch on door,
RES-00537,C3641,CAR-08,Economy,2026-03-09 13:11,2026-03-10 09:11,2026-03-17 22:11,Delhi,card,12331,"12,862km",0.37,12.97,84.42,87,1,1,₹1500/day,BOGUS99,75.0,1575.0,premium,,,
RES-00538,C6633, CAR-05,Luxury,2026-02-01 18:11,2026-02-03 11:11,2026-02-03 23:11,Chennai,cash,"50,140 km",51820,0.48,24.62,84.21,141 kmh,2,0,2500/day,,125.0,2625.0,eco,DL12345,Contact Rahul 9876543210,email test@gmail.com
RES-00539,C8504, CAR-30,Compact,2026-02-07 08:58,2026/02/08 03:58,2026-02-13 14:58,bangalore,wallet,73315km,"74,561km",0.7,22.3878,73.6682,70,2,1,1200/day,SAVE10,60.0,1260.0,premium,DL12345,,good service
RES-00540,C8243,CAR-11,Luxury,2026-03-31 14:30,01-04-2026 09:30,2026-04-09 14:30,blr,wallet,"60,224km",61539km,0.3,25.4625,78.08,137 kmh,5,0,3000,DISC15,150.0,3150.0,eco,INVALID,Contact Rahul 9876543210,
RES-00541,C6855, CAR-03,Economy,2026-03-09 17:19,2026/03/12 03:19,2026-03-14 15:19,Chennai,cash,70465km,"72,003 km",0.23,16.534776,77.284712,178 kmh,0,0,₹2500/day,,125.0,2625.0,eco,INVALID,scratch on door,
RES-00542,C8298,CAR-22,Luxury,2026-03-06 10:50,09-03-2026 07:50,2026-03-10 08:50,mumbai,Card,91407,93155,20 %,27.3422,76.3934,121 kmh,1,0,2000/day,,100.0,2100.0,standard,,,
RES-00543,C3423,CAR-23 ,SUV,2026-03-17 16:32,2026/03/19 19:32,2026-03-23 19:32,HYD,UPI,16159km,"16,432 km",9%,15.861182,79.9808,49,1,0,₹800/day,SAVE10,40.0,840.0,standard,DL12345,Contact Rahul 9876543210,good service
RES-00544,C4533,CAR-24 ,Luxury,2026-02-05 23:22,06-02-2026 11:22,2026-02-12 14:22,HYD,upi,"60,613 km","61,748 km",35%,27.1463,85.1,69,2,0,"₹ 1,200 /day",,,1260.0,standard,INVALID,Contact Rahul 9876543210,good service
RES-00545,C3353, CAR-07,Luxury,2026-02-24 11:57,2026-02-24 23:57:00,2026-03-03 09:57,CHENNAI,UPI,"65,081km",65134km,0.7,13.134,86.816,147 kmh,3,1,₹ 800 /day,BOGUS99,40.0,840.0,eco,DL12345,scratch on door,email test@gmail.com
RES-00546,C3865,CAR-18 ,Compact,2026-03-15 06:05,2026/03/17 12:05,2026-03-20 13:05,Mumbai,card,92528,94377,96 %,27.62,86.2565,97,5,0,"₹ 1,000 /day",BOGUS99,50.0,1050.0,eco,,scratch on door,good service
RES-00547,C9095,CAR-18 ,Compact,2026-02-06 02:31,2026/02/07 17:31,2026-02-11 02:31,Bengaluru,upi,"22,564 km",23727,13 %,26.0053,86.36113,159 kmh,1,0,₹2500/day,DISC15,125.0,2625.0,eco,INVALID,Contact Rahul 9876543210,email test@gmail.com
RES-00548,C7834,CAR-06 ,Compact,2026-02-01 20:40,2026-02-03 09:40:00,2026-02-10 15:40,Bengaluru,Card,22168km,"23,691 km",0.9,26.307521,82.323804,50,3,0,2500,,125.0,2625.0,eco,,,
RES-00549,C5225,CAR-21 ,Economy,2026-03-02 18:38,05-03-2026 02:38,2026-03-11 06:38,Delhi,Card,17619km,"19,418 km",65 %,25.3157,79.862816,58,0,0,₹1500/day,,75.0,1575.0,eco,INVALID,scratch on door,good service
RES-00550,C6855,CAR-06,SUV,2026-01-21 00:03,2026-01-21 18:03,2026-01-29 07:03,delhi,wallet,"10,290km",11916,0.2,15.239699,83.690418,49,1,0,3000,DISC15,150.0,3150.0,premium,,,good service
RES-00551,C4175,car-25,Economy,2026-02-12 07:18,15-02-2026 01:18,2026-02-16 00:18,Chennai,cash,"94,548 km",96315km,74 %,26.0489,72.153711,51,6,0,1000,SAVE10,50.0,1050.0,standard,,Contact Rahul 9876543210,good service
RES-00552,C2570,CAR 18,SUV,2026-02-09 11:52,11-02-2026 10:52,2026-02-19 00:52,Mumbai,upi,"35,612 km",36215,80%,14.816439,73.416754,122 kmh,5,0,800,SAVE10,40.0,840.0,standard,DL12345,,good service
RES-00553,C4569,CAR 05,Compact,2026-03-07 19:23,2026-03-08 09:23:00,2026-03-10 06:23,Mumbai,card,"51,344 km","52,333 km",60 %,26.8012,81.7245,45,1,0,2500,,125.0,2625.0,premium,,scratch on door,
RES-00554,C6104, CAR-23,Compact,2026-02-26 05:07,2026-02-28 02:07,2026-03-05 08:07,HYD,upi,"44,647 km","44,354 km",0.91,24.798659,87.41,171 kmh,3,0,"₹ 1,500 /day",SAVE10,75.0,1575.0,premium,,Contact Rahul 9876543210,
RES-00555,C4712,car-10,Compact,2026-03-31 14:01,2026/04/01 09:01,2026-04-08 22:01,Mumbai,card,"31,493km",31941km,0.7,18.8403,73.3949,55,0,0,"₹ 2,500 /day",SAVE10,125.0,2625.0,premium,,Contact Rahul 9876543210,
RES-00556,C1696,CAR-07,Economy,2026-03-27 19:04,2026/03/30 03:04,2026-04-07 08:04,Kolkata,card,24757km,"24,820 km",0.64,12.6309,81.473,75,4,1,₹ 800 /day,DISC15,40.0,840.0,premium,INVALID,scratch on door,good service
RES-00557,C3028,CAR 30,Compact,2026-01-15 19:02,2026/01/16 08:02,2026-01-16 14:02,Chennai,upi,"83,950 km","84,063km",0.7,16.8323,74.52,92,5,1,2000,,100.0,2100.0,standard,DL12345,scratch on door,good service
RES-00558,C6698,car-12,Compact,2026-03-25 23:01,2026/03/27 11:01,2026-04-04 14:01,Chennai,UPI,118883km,118795km,12 %,18.280881,83.632961,126 kmh,1,0,800/day,DISC15,40.0,840.0,eco,INVALID,scratch on door,
RES-00559,C9800,CAR-01,Compact,2026-03-15 02:33,2026-03-16 00:33,2026-03-19 04:33,CHENNAI,Card,"104,663km","105,555 km",64 %,27.580788,86.08,98,0,0,3000,BOGUS99,,3150.0,eco,,scratch on door,email test@gmail.com
RES-00560,C6813,CAR-13 ,Compact,2026-03-30 18:11,2026-03-31 18:11:00,2026-04-02 01:11,Chennai,card,"95,542 km","96,674km",14 %,12.57,73.792232,53,0,0,3000,DISC15,150.0,3150.0,eco,DL12345,,good service
RES-00561,C6918, CAR-23,Economy,2026-01-12 18:07,2026-01-15 10:07:00,2026-01-17 00:07,bangalore,card,"40,708km","42,669 km",0.6,13.225811,79.596,123 kmh,3,0,1200,SAVE10,60.0,1260.0,premium,,,good service
RES-00562,C4700,CAR-18 ,SUV,2026-01-13 03:18,2026-01-15 12:18:00,2026-01-18 23:18,Hyderabad,UPI,"103,452km",104902km,0.72,13.2039,84.09,47,6,0,800,BOGUS99,40.0,840.0,premium,DL12345,scratch on door,good service
RES-00563,C7494,CAR 15,Economy,2026-03-02 07:23,2026-03-02 21:91,2026-03-10 05:23,blr,card,"91,787 km","92,815 km",53%,17.047316,84.08,168 kmh,6,0,"₹ 2,500 /day",,,2625.0,premium,,scratch on door,
RES-00564,C6959, CAR-07,Compact,2026-02-21 13:37,2026/02/21 22:37,2026-02-23 21:37,CHENNAI,UPI,"12,920 km",13799,49 %,18.441499,85.8026,65,6,0,800/day,BOGUS99,,840.0,standard,,scratch on door,email test@gmail.com
RES-00565,C7557,CAR-12 ,Luxury,2026-01-29 02:46,2026-01-30 13:46:00,2026-02-07 07:46,HYD,upi,"105,383 km","105,900km",49%,23.875,80.37,121 kmh,6,0,₹3000/day,DISC15,150.0,3150.0,eco,,scratch on door,good service
RES-00566,C1486,CAR-04,Economy,2026-02-27 09:07,28-02-2026 03:07,2026-03-02 18:07,Hyderabad,upi,40959km,40734km,24 %,15.45,84.7853,176 kmh,2,0,800/day,DISC15,40.0,840.0,premium,INVALID,scratch on door,good service
RES-00567,C2253,CAR 22,Luxury,2026-02-18 06:43,18-02-2026 19:43,2026-02-25 14:43,Hyderabad,Card,96205km,97324km,0.6,17.36086,72.083267,71,4,0,"₹ 3,000 /day",SAVE10,150.0,3150.0,premium,DL12345,Contact Rahul 9876543210,
RES-00568,C9955,CAR-01,Luxury,2026-03-23 17:31,26/03/2026 15:31,2026-03-30 10:31,BENGALURU,card,76006,77733,70 %,17.06,75.39,156 kmh,6,0,₹1000/day,DISC15,,1050.0,standard,DL12345,Contact Rahul 9876543210,good service
RES-00569,C3689,CAR-16 ,Compact,2026-02-08 21:28,2026-02-10 12:71:71,2026-02-16 14:28,delhi,card,33150km,"35,042km",0.9,20.68,80.7649,52,1,0,"₹ 1,000 /day",BOGUS99,50.0,1050.0,premium,DL12345,,
RES-00570,C8697,CAR 16,Compact,2026-01-12 20:43,2026-01-15 18:43:00,2026-01-23 05:43,Chennai,card,74715,"74,350km",27 %,20.3021,78.7375,147 kmh,5,0,2500/day,DISC15,125.0,2625.0,eco,DL12345,Contact Rahul 9876543210,
RES-00571,C6250,CAR-02,Economy,2026-02-02 02:37,2026-02-03 15:37:00,2026-02-07 13:37,mumbai,Card,17879km,"18,693 km",0.8,15.6478,77.33,148 kmh,3,0,1000,SAVE10,50.0,1050.0,eco,DL12345,scratch on door,email test@gmail.com
RES-00572,C6855, CAR-14,Economy,2026-03-14 03:48,16-03-2026 00:48,2026-03-20 17:48,Kolkata,upi,"20,968 km","21,510 km",34 %,16.05,77.92,127 kmh,5,0,₹1000/day,,50.0,1050.0,standard,,scratch on door,
RES-00573,C5995, CAR-04,Compact,2026-01-31 11:19,31/01/2026 20:19,2026-02-08 08:19,bangalore,UPI,"97,149km","97,935 km",12%,16.91,85.756,44,3,0,"₹ 3,000 /day",DISC15,150.0,3150.0,premium,,,
RES-00574,C1334,CAR-23 ,Economy,2026-02-27 10:55,2026-02-28 21:55:00,2026-03-05 12:55,delhi,cash,107589,"108,280km",72 %,26.56,83.864296,144 kmh,6,0,1200/day,SAVE10,60.0,1260.0,premium,DL12345,scratch on door,email test@gmail.com
RES-00575,C6504,CAR 16,SUV,2026-02-18 07:36,2026/02/19 10:36,2026-02-20 15:36,mumbai,Card,"70,513 km",71448km,30 %,26.03656,76.363058,137 kmh,6,1,₹ 800 /day,DISC15,40.0,840.0,standard,,,email test@gmail.com
RES-00576,C5708,CAR-09,SUV,2026-02-24 02:31,2026/02/25 06:31,2026-03-03 03:31,CHENNAI,upi,"51,422 km",52813km,45%,25.62,81.6156,81,3,0,2000,,100.0,2100.0,premium,,Contact Rahul 9876543210,good service
RES-00577,C2102,CAR 19,Luxury,2026-03-20 12:05,21/03/2026 23:05,2026-03-25 17:05,Hyderabad,Card,"33,907km",35900,0.81,23.047449,85.7158,87,3,1,2500/day,,125.0,2625.0,standard,INVALID,,email test@gmail.com
RES-00578,C9846,car-11,Luxury,2026-01-08 12:52,10-01-2026 20:52,2026-01-14 04:52,HYD,cash,"35,376 km",36481,0.8,12.343617,75.1,89,3,0,₹2000/day,,100.0,2100.0,premium,DL12345,,
RES-00579,C4056,CAR-19 ,Compact,2026-03-04 19:42,07/03/2026 14:42,2026-03-07 22:42,kolkata,Card,9344,"10,467 km",0.23,16.401512,82.053834,132 kmh,6,0,"₹ 2,000 /day",BOGUS99,100.0,2100.0,eco,DL12345,Contact Rahul 9876543210,email test@gmail.com
RES-00580,C9556, CAR-07,Luxury,2026-03-23 09:51,23/03/2026 17:51,2026-03-28 12:51,Mumbai,upi,"9,446km",9487,21 %,26.02,76.88,142 kmh,2,1,₹1500/day,DISC15,,1575.0,eco,INVALID,scratch on door,email test@gmail.com
RES-00581,C7757, CAR-09,Compact,2026-03-28 06:54,2026-03-29 09:54:00,2026-03-30 05:54,Delhi,card,103152km,"103,954 km",0.4,25.481111,87.507,150 kmh,1,1,"₹ 1,000 /day",BOGUS99,50.0,1050.0,eco,,Contact Rahul 9876543210,email test@gmail.com
RES-00582,C8145,CAR-14,Compact,2026-01-28 12:09,2026-01-31 03:79,2026-02-05 05:09,mumbai,upi,"6,016 km","5,794km",0.97,16.3344,81.2793,168 kmh,4,0,1200,BOGUS99,,1260.0,eco,INVALID,scratch on door,
RES-00583,C8960,CAR-26,Economy,2026-01-04 02:50,04-01-2026 08:50,2026-01-06 09:50,bangalore,cash,35701km,36352km,0.83,18.761002,80.2302,85,0,0,₹2500/day,SAVE10,125.0,2625.0,standard,,,
RES-00584,C7502,car-27,Compact,2026-02-07 14:57,2026-02-08 02:57:00,2026-02-15 09:57,Bengaluru,cash,"63,321 km",63357km,97 %,22.1801,79.18,87,0,0,"₹ 1,500 /day",DISC15,,1575.0,eco,INVALID,,
RES-00585,C3003, CAR-25,SUV,2026-03-26 11:49,27/03/2026 18:49,2026-03-28 21:49,CHENNAI,wallet,119551,"121,154 km",59 %,14.779684,86.26,165 kmh,6,0,"₹ 3,000 /day",DISC15,150.0,3150.0,standard,DL12345,scratch on door,
RES-00586,C8200, CAR-14,Economy,2026-01-30 01:13,2026-01-31 13:13,2026-02-02 23:13,HYD,wallet,108176km,"110,002km",0.56,22.792,83.4071,82,5,0,1500,SAVE10,,1575.0,standard,,scratch on door,email test@gmail.com
RES-00587,C3374,CAR-12 ,SUV,2026-01-13 22:34,2026-01-15 10:34:00,2026-01-18 05:34,Delhi,wallet,"11,327km",13217,0.9,27.2094,73.53,61,5,0,2500,SAVE10,125.0,2625.0,standard,,,
RES-00588,C5144,CAR-18 ,SUV,2026-03-17 18:53,2026/03/19 01:53,2026-03-26 08:53,kolkata,wallet,"114,548 km",115632,96%,26.92,79.80226,127 kmh,0,0,1000/day,,,1050.0,standard,,,good service
RES-00589,C7438, CAR-30,SUV,2026-01-16 15:55,2026-01-16 17:55,2026-01-21 00:55,blr,Card,"44,412 km","46,332 km",0.29,12.96561,79.3196,166 kmh,6,0,1200/day,SAVE10,60.0,1260.0,eco,INVALID,scratch on door,good service
RES-00590,C1555,CAR-09,Luxury,2026-01-25 00:58,2026-01-27 05:58:00,2026-02-04 13:58,HYD,Card,32903,34878km,0.78,19.952667,82.7057,163 kmh,3,0,1200/day,BOGUS99,,1260.0,premium,INVALID,,
RES-00591,C6764,CAR 14,SUV,2026-02-23 18:52,2026-02-24 03:52,2026-03-01 16:52,Hyderabad,UPI,12406km,13376,0.89,14.76,74.509186,86,4,0,1000,BOGUS99,50.0,1050.0,eco,DL12345,scratch on door,
RES-00592,C7564, CAR-07,SUV,2026-03-24 19:11,2026-03-24 20:11:00,2026-03-26 10:11,Chennai,UPI,"103,953 km","104,302km",0.6,18.59,74.3744,63,4,0,2500,SAVE10,,2625.0,eco,INVALID,scratch on door,email test@gmail.com
RES-00593,C6233,CAR-15 ,Compact,2026-01-19 02:33,2026-01-21 07:33,2026-01-28 18:33,Delhi,wallet,"113,651 km","114,830km",39 %,18.440177,80.47,89,6,0,"₹ 1,000 /day",SAVE10,50.0,1050.0,eco,INVALID,Contact Rahul 9876543210,email test@gmail.com
RES-00594,C3980,CAR-13 ,Compact,2026-03-15 10:51,17-03-2026 10:51,2026-03-22 00:51,Bengaluru,cash,"29,761 km","31,169km",50%,24.9719,80.32,160 kmh,5,0,1000,BOGUS99,50.0,1050.0,standard,INVALID,scratch on door,good service
RES-00595,C5289,car-23,Economy,2026-03-23 17:40,2026-03-24 19:40,2026-03-29 21:40,HYD,cash,"103,495 km","105,158km",26%,21.130224,75.753254,57,5,0,1500,DISC15,75.0,1575.0,standard,INVALID,scratch on door,good service
RES-00596,C1231,CAR 23,Luxury,2026-02-02 12:05,03-02-2026 04:05,2026-02-09 09:05,HYD,UPI,"69,449km",70938km,0.5,17.5618,84.775094,137 kmh,3,0,"₹ 3,000 /day",SAVE10,150.0,3150.0,standard,,Contact Rahul 9876543210,email test@gmail.com
RES-00597,C9096,car-13,Luxury,2026-01-28 09:13,2026-01-29 22:13,2026-02-01 22:13,Mumbai,Card,62886,"63,168 km",0.43,20.0343,87.967,150 kmh,0,0,₹ 800 /day,DISC15,,840.0,premium,,scratch on door,good service
RES-00598,C5754,car-09,Luxury,2026-03-28 02:26,2026-03-28 06:26,2026-03-29 23:26,mumbai,cash,30405km,"31,044 km",0.18,19.0,78.36,43,6,0,₹2000/day,BOGUS99,100.0,2100.0,standard,,Contact Rahul 9876543210,email test@gmail.com
RES-00599,C4476,CAR-23 ,Luxury,2026-03-27 17:29,2026/03/29 20:68,2026-04-02 10:29,kolkata,UPI,91940,"93,899km",0.38,15.864353,86.57,168 kmh,6,0,"₹ 3,000 /day",BOGUS99,150.0,3150.0,premium,DL12345,,
RES-00600,C6804,CAR 20,Economy,2026-01-11 04:03,2026/01/13 17:03,2026-01-16 09:03,bangalore,cash,101002,101792km,0.13,16.3482,83.9141,128 kmh,5,1,1200,DISC15,60.0,1260.0,standard,INVALID,,email test@gmail.com
RES-00601,C1673,car-19,SUV,2026-03-18 12:19,2026-03-21 12:19:00,2026-03-23 01:19,mumbai,Card,"31,228 km","32,225 km",60 %,25.45,78.391,78,1,0,₹1200/day,SAVE10,60.0,1260.0,standard,,,
RES-00602,C5266, CAR-04,Economy,2026-02-28 09:05,01-03-2026 04:05,2026-03-05 22:05,mumbai,Card,69561km,70460km,99 %,23.15,84.373289,54,6,0,2000/day,DISC15,100.0,2100.0,premium,INVALID,scratch on door,good service
RES-00603,C9470,CAR-11 ,Compact,2026-02-15 03:18,16-02-2026 13:18,2026-02-24 19:18,delhi,upi,70181km,"71,571 km",37%,15.73,83.479372,84,0,1,"₹ 1,000 /day",,50.0,1050.0,eco,DL12345,scratch on door,good service
RES-00604,C4766,CAR-06,Luxury,2026-03-13 14:40,2026-03-13 21:40:00,2026-03-15 15:40,Delhi,wallet,95823,"97,029 km",0.67,23.89,76.27,54,5,0,1000,SAVE10,50.0,1050.0,eco,DL12345,Contact Rahul 9876543210,email test@gmail.com
RES-00605,C8949,CAR-15 ,Economy,2026-02-26 13:07,2026-03-01 13:07:00,2026-03-05 12:07,Kolkata,UPI,87871km,89164,82 %,18.38,74.046122,71,2,0,2000,BOGUS99,100.0,2100.0,eco,DL12345,,email test@gmail.com
RES-00606,C5469,CAR 19,Compact,2026-02-11 08:13,14-02-2026 02:13,2026-02-16 01:13,Chennai,cash,33720,"34,630 km",0.6,27.191641,82.539602,177 kmh,2,0,₹1200/day,DISC15,60.0,1260.0,standard,,Contact Rahul 9876543210,email test@gmail.com
RES-00607,C6384, CAR-01,Economy,2026-03-14 16:26,2026/03/15 05:26,2026-03-20 16:26,HYD,cash,115644km,"117,099 km",34 %,19.831482,80.63,69,3,0,2500,BOGUS99,125.0,2625.0,standard,INVALID,Contact Rahul 9876543210,
RES-00608,C8439, CAR-21,Economy,2026-01-11 20:09,2026/01/14 10:09,2026-01-22 03:09,Delhi,wallet,"8,947km",9618km,0.2,20.3583,81.8678,86,5,1,3000/day,BOGUS99,150.0,3150.0,eco,INVALID,scratch on door,email test@gmail.com
RES-00609,C6294,CAR-26,Economy,2026-03-20 01:20,21/03/2026 14:20,2026-03-22 06:20,CHENNAI,UPI,"9,982km",10444km,0.63,13.2848,72.37,158 kmh,6,1,800/day,,40.0,840.0,standard,DL12345,,
RES-00610,C1336,car-28,Compact,2026-02-20 20:11,2026-02-21 08:11,2026-02-25 18:11,HYD,Card,113039,"114,429 km",38%,14.04,78.338,178 kmh,5,0,3000/day,BOGUS99,150.0,3150.0,premium,DL12345,scratch on door,good service
RES-00611,C3151,CAR-12,SUV,2026-03-23 04:09,2026/03/24 20:09,2026-03-29 14:09,Chennai,card,"57,857km","59,190km",1.0,13.4979,85.261411,154 kmh,1,0,₹1500/day,BOGUS99,75.0,1575.0,premium,,Contact Rahul 9876543210,good service
RES-00612,C7922, CAR-26,Compact,2026-02-27 00:30,27-02-2026 12:30,2026-03-04 04:30,HYD,UPI,"78,336 km",79541km,63 %,14.96,85.7043,50,2,0,3000,BOGUS99,150.0,3150.0,standard,DL12345,,good service
